Impact Area checked,Result type,Result code,Expert score
Gender,Innovation development,37,0
Gender,Knowledge product,10856,2
Gender,Knowledge product,10711,1
Gender,Knowledge product,10769,1
Gender,Knowledge product,11154,2
Gender,Knowledge product,10889,0
Gender,Innovation development,4771,0
Gender,Innovation development,11264,0
Gender,Innovation use,8331,1
Gender,Innovation use,10362,0
Gender,Capacity sharing for development,5569,1
Gender,Other output,10513,0
Gender,Policy change,9487,2
Poverty,Innovation development,1020,0
Poverty,Innovation development,3416,2
Poverty,Innovation development,4731,0
Poverty,Knowledge product,5365,2
Poverty,Knowledge product,6115,0
Poverty,Knowledge product,6182,0
Poverty,Knowledge product,6253,0
Poverty,Knowledge product,6328,0
Poverty,Knowledge product,8384,0
Poverty,Innovation development,8633,0
Poverty,Knowledge product,10813,1
Poverty,Knowledge product,10965,0
Poverty,Knowledge product,11100,1
Poverty,Knowledge product,11611,1
Nutrition,Innovation development,1006,0
Nutrition,Capacity sharing for development,10076,0
Nutrition,Other output,10173,1
Nutrition,Knowledge product,10203,0
Nutrition,Knowledge product,10206,2
Nutrition,Other output,10292,2
Nutrition,Innovation use,10333,0
Nutrition,Capacity sharing for development,10341,0
Nutrition,Other outcome,10513,1
Nutrition,Innovation package,11855,1
Nutrition,Knowledge product,10212,0
Nutrition,Other output,10300,0
Nutrition,Innovation development,10304,0
Nutrition,Capacity sharing for development,10542,0
Nutrition,Innovation package,11180,0
Environment,Innovation development,10108,2
Environment,Knowledge product,10236,2
Environment,Knowledge product,10253,2
Environment,Knowledge product,10259,2
Environment,Capacity sharing for development,10287,1
Environment,Knowledge product,10389,0
Environment,Knowledge product,11812,2
Environment,Knowledge product,11811,2
Climate,Innovation development,1020,2
Climate,Other output,10300,0
Climate,Innovation use,10333,2
Climate,Other output,5840,0
Climate,Other outcome,9010,1
Climate,Knowledge product,10728,1
Climate,Knowledge product,9786,2
Climate,Knowledge product,6588,2
Climate,Policy change,8480,0
Climate,Policy change,6753,2
Climate,Innovation development,8470,1
Gender,Knowledge product,10605,2
Climate,Knowledge product,10117,2
Climate,Innovation development,1020,2
Climate,Other output,10300,0
Climate,Innovation use,10333,2
Climate,Capacity sharing for development,10548,1
Climate,Innovation package,11288,0
Climate,Capacity sharing for development,5569,2
Climate,Other output,5840,0
Climate,Knowledge product,6461,2
Climate,Other outcome,9010,1
Climate,Other outcome,9549,1
Gender,Policy change,9487,2
Poverty,Policy change,8480,0
Climate,Knowledge product,10889,2
Environment,Knowledge product,10889,1
Gender,Knowledge product,10889,1
Nutrition,Knowledge product,10889,1
Poverty,Knowledge product,10889,1
Climate,Capacity sharing for development,10548,1
Nutrition,Capacity sharing for development,10548,0
Poverty,Capacity sharing for development,10548,1
Climate,Innovation use,10333,2
Environment,Innovation use,10333,1
Gender,Innovation use,10333,1
Nutrition,Innovation use,10333,0
Poverty,Innovation use,10333,0
