model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,climate,Climate_ MVE2,18,7,11,0.3888888888888889,0,7,2,0.2857142857142857
gpt-4o,climate,Climate_ MVE2,18,7,11,0.3888888888888889,1,4,2,0.5
gpt-4o,climate,Climate_ MVE2,18,7,11,0.3888888888888889,2,7,3,0.42857142857142855
gpt-4o,environment,Environment_ MVE2,16,14,2,0.875,0,4,3,0.75
gpt-4o,environment,Environment_ MVE2,16,14,2,0.875,1,4,4,1.0
gpt-4o,environment,Environment_ MVE2,16,14,2,0.875,2,8,7,0.875
gpt-4o,gender,Gender_MVE2_ext_full2,21,15,6,0.7142857142857143,0,9,8,0.8888888888888888
gpt-4o,gender,Gender_MVE2_ext_full2,21,15,6,0.7142857142857143,1,5,2,0.4
gpt-4o,gender,Gender_MVE2_ext_full2,21,15,6,0.7142857142857143,2,7,5,0.7142857142857143
gpt-4o,nutrition,Nutrition_ MVE2,15,6,9,0.4,0,9,3,0.3333333333333333
gpt-4o,nutrition,Nutrition_ MVE2,15,6,9,0.4,1,4,1,0.25
gpt-4o,nutrition,Nutrition_ MVE2,15,6,9,0.4,2,2,2,1.0
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,22,10,12,0.45454545454545453,0,15,5,0.3333333333333333
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,22,10,12,0.45454545454545453,1,5,4,0.8
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,22,10,12,0.45454545454545453,2,2,1,0.5
gpt-4o-mini,climate,Climate_ MVE2,18,4,14,0.2222222222222222,0,7,0,0.0
gpt-4o-mini,climate,Climate_ MVE2,18,4,14,0.2222222222222222,1,4,0,0.0
gpt-4o-mini,climate,Climate_ MVE2,18,4,14,0.2222222222222222,2,7,4,0.5714285714285714
gpt-4o-mini,environment,Environment_ MVE2,16,10,6,0.625,0,4,3,0.75
gpt-4o-mini,environment,Environment_ MVE2,16,10,6,0.625,1,4,0,0.0
gpt-4o-mini,environment,Environment_ MVE2,16,10,6,0.625,2,8,7,0.875
gpt-4o-mini,gender,Gender_MVE2_ext_full2,21,8,13,0.38095238095238093,0,9,1,0.1111111111111111
gpt-4o-mini,gender,Gender_MVE2_ext_full2,21,8,13,0.38095238095238093,1,5,0,0.0
gpt-4o-mini,gender,Gender_MVE2_ext_full2,21,8,13,0.38095238095238093,2,7,7,1.0
gpt-4o-mini,nutrition,Nutrition_ MVE2,15,3,12,0.2,0,9,1,0.1111111111111111
gpt-4o-mini,nutrition,Nutrition_ MVE2,15,3,12,0.2,1,4,0,0.0
gpt-4o-mini,nutrition,Nutrition_ MVE2,15,3,12,0.2,2,2,2,1.0
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,22,4,18,0.18181818181818182,0,15,0,0.0
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,22,4,18,0.18181818181818182,1,5,2,0.4
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,22,4,18,0.18181818181818182,2,2,2,1.0
o3-mini,climate,Climate_ MVE2,18,8,10,0.4444444444444444,0,7,0,0.0
o3-mini,climate,Climate_ MVE2,18,8,10,0.4444444444444444,1,4,3,0.75
o3-mini,climate,Climate_ MVE2,18,8,10,0.4444444444444444,2,7,5,0.7142857142857143
o3-mini,environment,Environment_ MVE2,16,12,4,0.75,0,4,3,0.75
o3-mini,environment,Environment_ MVE2,16,12,4,0.75,1,4,4,1.0
o3-mini,environment,Environment_ MVE2,16,12,4,0.75,2,8,5,0.625
o3-mini,gender,Gender_MVE2_ext_full2,21,14,7,0.6666666666666666,0,9,6,0.6666666666666666
o3-mini,gender,Gender_MVE2_ext_full2,21,14,7,0.6666666666666666,1,5,3,0.6
o3-mini,gender,Gender_MVE2_ext_full2,21,14,7,0.6666666666666666,2,7,5,0.7142857142857143
o3-mini,nutrition,Nutrition_ MVE2,15,7,8,0.4666666666666667,0,9,3,0.3333333333333333
o3-mini,nutrition,Nutrition_ MVE2,15,7,8,0.4666666666666667,1,4,2,0.5
o3-mini,nutrition,Nutrition_ MVE2,15,7,8,0.4666666666666667,2,2,2,1.0
o3-mini,poverty,POVERTY_REDUCTION_PROMPT,22,5,17,0.22727272727272727,0,15,0,0.0
o3-mini,poverty,POVERTY_REDUCTION_PROMPT,22,5,17,0.22727272727272727,1,5,4,0.8
o3-mini,poverty,POVERTY_REDUCTION_PROMPT,22,5,17,0.22727272727272727,2,2,1,0.5
