result_code,prompt_id,prompt_text,model_name,perspective,impact_area,input_text,token_count
37,TEST_PROMPT_V1," ### ### **Now, analyze the following research result and assign a poverty reduction, livelihoods, and jobs tag (0, 1, or 2)**Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }
[INPUT_TEXT]",gpt-4o,"Poverty Reduction, Livelihoods, and Jobs",Poverty,"Bean breeding networks in Africa accelerate genetic gains for drought- and heat-resilient, biofortified varieties including bush and climbing beans, meeting farmer and seed company demands in diverse markets Common beans are an important staple food for more than 200 million Africans, providing an affordable source of proteins, complex carbohydrates and valuable micronutrients. They improve soil fertility and are a significant source of income. In collaboration with the Pan Africa Bean Research Alliance (PABRA) and farmers, CIAT and national bean breeding efforts seek to develop improved and marketable bush and climbing bean varieties, including biofortified varieties and niche market varieties. Past progress in resistance to bean diseases and tolerance to drought is being extended to edaphic constraints and adaptation to high temperatures.  Breeding is a cyclical process that adjusts to feedback from farmers, seed companies and end-users. Breeding cycle time at CIAT is between 12 and 24 months. During 2023, partners in 16 African countries tested 272 lines from local breeding programs and CIAT. Seventeen Tanzanian varieties were tested with 1682 farmers.                                                                                                                                                                                                                                                                                                    Worksheet Descriptions  Unnamed: 1               Unnamed: 2                                                                                                                                                                    Unnamed: 3                                                                                                                                                                                Unnamed: 4
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                             PRMS Results and IA  coding         NaN   Evidence for IA coding                                                                                                                                                    Starting Rows 1, describes Method used to systematically link Breeding Pipelines employed, Target Product Profiles pursued, and Variety Releases achieved by ALL Genetic Innovation Breeding Efforts to Impact Areas
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 11, describes                                                                                          Standardized matrix of traits, value propositions and Impact Area tagging for genetic innovation
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 45, describes                                                            Standardized Impact Area tagging for Genetic Innovation Breeding Pipelines and Variety Releases and their link to PRMS results
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                           IRL Standardization Germplasm         NaN  Evidence for IRL coding                                  Links Germplasm Stages, used in CGIAR Genetic Innovation, to Levels of CGIAR Innovation Readiness and Use, across all CGIAR Breeding Efforts                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                    Breeding Cycle times         NaN Evidence for cycle times                                                   Lists cycle times of breeding pipelines, based on a breeders' survey. This information is used in PRMS Results descriptions                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                     BPs >> PRMS Results         NaN    Part of the analytics                                                                                                                       Lists Breeding Pipelines and their link to PRMS Results                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                Value Propositions in BP         NaN    Part of the analytics                                                                                                         Lists Value propositions  and Trait requirement per Breeding Pipeline                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                           BP - TPP - MS         NaN    Part of the analytics  Links between Breeding Pipelines (BP), Target Product Profiles (TPP) and Market Segments (MS), across all of CGAIR breeding, downloaded from Breeding Portal 14 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                         TPPs and Traits         NaN    Part of the analytics Links between Trait, Value Proposition, Breeding Pipelines (BP), Target Product Profiles (TPP) , across all of CGAIR breeding, downloaded from Breeding Portal 8 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                              Variety 2023 releases > BP         NaN    Part of the analytics                                                                  Known variety releases in 2023, linked to Breeding Pipeline, downloaded from Breeding Portal 14 January 2023                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
    In collaboration with Market Intelligence, Impact Area and IRL coding are standardized across ALL CGIAR breeding efforts, with  improvements from year to year. The file provides methods and analysis. IA Worksheet ""PRMS Results and IA coding"", Rows 93-96 lists Impact Area codes, resulting from the analysis.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
Worksheet ""PRMS Results & IA Coding"" explains the method, developed with Market Intelligence, for standardized Impact Area tagging of CGIAR Breeding Pipelines. The proportion of Breeding Pipelines with Impact Area Tag 2 are shown in Row 33.  The analysis allows to conclude on the overall portfolio orientation.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN",1182
37,TEST_PROMPT_V1," ### ### **Now, analyze the following research result and assign a poverty reduction, livelihoods, and jobs tag (0, 1, or 2)**Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }
[INPUT_TEXT]",gpt-4o-mini,"Poverty Reduction, Livelihoods, and Jobs",Poverty,"Bean breeding networks in Africa accelerate genetic gains for drought- and heat-resilient, biofortified varieties including bush and climbing beans, meeting farmer and seed company demands in diverse markets Common beans are an important staple food for more than 200 million Africans, providing an affordable source of proteins, complex carbohydrates and valuable micronutrients. They improve soil fertility and are a significant source of income. In collaboration with the Pan Africa Bean Research Alliance (PABRA) and farmers, CIAT and national bean breeding efforts seek to develop improved and marketable bush and climbing bean varieties, including biofortified varieties and niche market varieties. Past progress in resistance to bean diseases and tolerance to drought is being extended to edaphic constraints and adaptation to high temperatures.  Breeding is a cyclical process that adjusts to feedback from farmers, seed companies and end-users. Breeding cycle time at CIAT is between 12 and 24 months. During 2023, partners in 16 African countries tested 272 lines from local breeding programs and CIAT. Seventeen Tanzanian varieties were tested with 1682 farmers.                                                                                                                                                                                                                                                                                                    Worksheet Descriptions  Unnamed: 1               Unnamed: 2                                                                                                                                                                    Unnamed: 3                                                                                                                                                                                Unnamed: 4
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                             PRMS Results and IA  coding         NaN   Evidence for IA coding                                                                                                                                                    Starting Rows 1, describes Method used to systematically link Breeding Pipelines employed, Target Product Profiles pursued, and Variety Releases achieved by ALL Genetic Innovation Breeding Efforts to Impact Areas
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 11, describes                                                                                          Standardized matrix of traits, value propositions and Impact Area tagging for genetic innovation
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 45, describes                                                            Standardized Impact Area tagging for Genetic Innovation Breeding Pipelines and Variety Releases and their link to PRMS results
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                           IRL Standardization Germplasm         NaN  Evidence for IRL coding                                  Links Germplasm Stages, used in CGIAR Genetic Innovation, to Levels of CGIAR Innovation Readiness and Use, across all CGIAR Breeding Efforts                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                    Breeding Cycle times         NaN Evidence for cycle times                                                   Lists cycle times of breeding pipelines, based on a breeders' survey. This information is used in PRMS Results descriptions                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                     BPs >> PRMS Results         NaN    Part of the analytics                                                                                                                       Lists Breeding Pipelines and their link to PRMS Results                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                Value Propositions in BP         NaN    Part of the analytics                                                                                                         Lists Value propositions  and Trait requirement per Breeding Pipeline                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                           BP - TPP - MS         NaN    Part of the analytics  Links between Breeding Pipelines (BP), Target Product Profiles (TPP) and Market Segments (MS), across all of CGAIR breeding, downloaded from Breeding Portal 14 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                         TPPs and Traits         NaN    Part of the analytics Links between Trait, Value Proposition, Breeding Pipelines (BP), Target Product Profiles (TPP) , across all of CGAIR breeding, downloaded from Breeding Portal 8 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                              Variety 2023 releases > BP         NaN    Part of the analytics                                                                  Known variety releases in 2023, linked to Breeding Pipeline, downloaded from Breeding Portal 14 January 2023                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
    In collaboration with Market Intelligence, Impact Area and IRL coding are standardized across ALL CGIAR breeding efforts, with  improvements from year to year. The file provides methods and analysis. IA Worksheet ""PRMS Results and IA coding"", Rows 93-96 lists Impact Area codes, resulting from the analysis.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
Worksheet ""PRMS Results & IA Coding"" explains the method, developed with Market Intelligence, for standardized Impact Area tagging of CGIAR Breeding Pipelines. The proportion of Breeding Pipelines with Impact Area Tag 2 are shown in Row 33.  The analysis allows to conclude on the overall portfolio orientation.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN",1182
1006,TEST_PROMPT_V1," ### ### **Now, analyze the following research result and assign a poverty reduction, livelihoods, and jobs tag (0, 1, or 2)**Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }
[INPUT_TEXT]",gpt-4o,"Poverty Reduction, Livelihoods, and Jobs",Poverty,"The Women's Empowerment in Livestock Index(WELI) for measuring women's empowerment in systems where livestock is important for livelihood The WELI facilitates assessments of the impact of livestock interventions on the empowerment of women involved in the sector. By getting better at understanding what interventions work best at providing empowering opportunities, we can refine these interventions and in the long term, provide better empowering opportunities for women involved in livestock. Providing women farmers with opportunities for empowerment through livestock is important to both enhance household livelihoods and nutrition while also promoting progress on gender equity. In 2015, the International Livestock Research Institute (ILRI), in collaboration with Emory University developed the WELI tool based on the Women’s Empowerment in Agriculture Index (WEAI) developed earlier by IFPRI. The WELI measures women’s empowerment in livestock and crop agriculture and focuses specifically on key areas of livestock production, such as animal health, breeding and feeding; and on use of livestock products, such as animal-source-food processing and marketing.  ",269
1006,TEST_PROMPT_V1," ### ### **Now, analyze the following research result and assign a poverty reduction, livelihoods, and jobs tag (0, 1, or 2)**Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }
[INPUT_TEXT]",gpt-4o-mini,"Poverty Reduction, Livelihoods, and Jobs",Poverty,"The Women's Empowerment in Livestock Index(WELI) for measuring women's empowerment in systems where livestock is important for livelihood The WELI facilitates assessments of the impact of livestock interventions on the empowerment of women involved in the sector. By getting better at understanding what interventions work best at providing empowering opportunities, we can refine these interventions and in the long term, provide better empowering opportunities for women involved in livestock. Providing women farmers with opportunities for empowerment through livestock is important to both enhance household livelihoods and nutrition while also promoting progress on gender equity. In 2015, the International Livestock Research Institute (ILRI), in collaboration with Emory University developed the WELI tool based on the Women’s Empowerment in Agriculture Index (WEAI) developed earlier by IFPRI. The WELI measures women’s empowerment in livestock and crop agriculture and focuses specifically on key areas of livestock production, such as animal health, breeding and feeding; and on use of livestock products, such as animal-source-food processing and marketing.  ",269
1020,TEST_PROMPT_V1," ### ### **Now, analyze the following research result and assign a poverty reduction, livelihoods, and jobs tag (0, 1, or 2)**Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }
[INPUT_TEXT]",gpt-4o,"Poverty Reduction, Livelihoods, and Jobs",Poverty,"Aclimatar - Understanding climate change impacts and adaptation practices for cocoa management in West Africa Aclimatar: Empowering Smallholder Producers for Perennials in West Africa for Climate Resilience. The innovation highlights the platform's core purpose of supporting climate adaptation for smallholder cocoa producers in Ghana and Côte d'Ivoire. By offering site-specific climate change risk assessments and tailored adaptation practices, Aclimatar serves as a vital tool in combating the effects of climate change. Its intuitive map interface allows users to select locations, providing them with essential climate data, impacts on specific crops, and prioritized adaptation strategies. This innovation is designed to enhance local projects, technicians, and organizations' understanding and response to climate variability, ensuring sustainable agricultural practices and resilience among smallholder communities. Opportunities for digital agro-climatic services in the cocoa sector Skip to main content Dear CGSpace users, we have performed some minor upgrades to the user interface. If it does not look right you should refresh the page while holding the Shift key. Communities & Collections Browse Navigate CGIAR Centers Statistics English Català Čeština Deutsch Español Français Gàidhlig Italiano Latviešu Magyar Nederlands Polski Português Português do Brasil Srpski (lat) Suomi Svenska Türkçe Tiếng Việt Қазақ বাংলা हिंदी Ελληνικά Српски Yкраї́нська Log In Note: CGIAR users should log in with their Active Directory username and password. For example, if your email is j.smith@cgiar.org, you would use jsmith here. Log in New user? Click here to register. Have you forgotten your password? Home CGIAR research centers Alliance of Bioversity International and CIAT Alliance Bioversity CIAT Reports Opportunities for digital agro-climatic services in the cocoa sector Opportunities for digital agro-climatic services in the cocoa sector Loading... Files Report_Ghana.pdf (6.33 MB) Authors Giraldo, Diana Zapata Caldas, Emmanuel Llanos, Lizeth Rahn, Eric Date Issued 2023-12-29 Date Online Language en Type Report Review Status Access Rights Open Access Usage Rights Metadata Full item page Share Citation Giraldo, D.; Zapata Caldas, E.; Llanos, L.; Rahn, E. (2023) Opportunities for digital agro-climatic services in the cocoa sector. Excellence in Agronomy Initiative. 13 p. Permanent link to cite or share this item https://hdl.handle.net/10568/138653 External link to download this item DOI Abstract/Description The Alliance Bioversity-CIAT and the Rainforest Alliance (RA) collaborating to explore the value of seasonal climate forecasts for decision-making in cocoa farming. The Alliance Bioversity International-CIAT has extensive experience in using seasonal climate forecasts to improve the management of annual crops (e.g., variety selection, planting time, etc.), but there is limited experience with perennial cropping systems such as cocoa. To this end, we aim to understand which management decisions can benefit from seasonal climate forecasts, which climate variables would require good forecasting skills, and how forecasts need to be translated and communicated to end- users. To achieve this goal, the Alliance Bioversity-CIAT is applying human-centered design (HCD), a creative and participatory approach to problem-solving that allows for a deep understanding of the people for whom we design and the environments in which they live. Stakeholders are considered co-designers in the process of creating solutions or tools, whether digital or non-digital. Author ORCID identifiers Diana Carolina Giraldo Mendez https://orcid.org/0000-0002-9200-3916 Emmanuel Zapata-Caldas https://orcid.org/0000-0002-7795-9426 Lizeth Llanos-Herrera https://orcid.org/0000-0003-3540-7348 Eric Rahn https://orcid.org/0000-0001-6280-7430 Contributes to SDGs AGROVOC Keywords information services ; theobroma cacao-cocoa (plant) ; climate services ; extension systems Subjects CACAO ; PARTICIPATORY RESEARCH ; RESILIENCE Countries Ghana Regions Africa ; Western Africa ; Sub-Saharan Africa Organizations Affiliated to the Authors International Center for Tropical Agriculture CGIAR Action Areas Resilient Agrifood Systems CGIAR Impact Areas Climate adaptation and mitigation CGIAR Initiatives Climate Resilience ; Excellence in Agronomy Collections Alliance Bioversity CIAT Reports Alliance Research Lever 3: Climate Action CGIAR Initiative on Climate Resilience CGIAR Initiative on Excellence in Agronomy DSpace software copyright © 2002-2024 LYRASIS About Cookie settings Privacy policy Send Feedback ",1008
