"result_code","prompt_id","prompt_text","model_name","impact_area","input_text","token_count"
"37","GENDER_EQUALITY_PROMPT","# **You are an AI assistant tasked with evaluating research results from CGIAR (Consultative Group on International Agricultural Research) to determine whether they align with and contribute to CGIAR's objectives in promoting gender equality. Your goal is to accurately assign an impact area tag that reflects the relevance and impact of the research on these specific gender equality objectives.**

### **Context:**
CGIAR is a global partnership that unites international organizations focused on research for food security. CGIAR has established specific objectives to promote gender equality, particularly in the fields of agriculture, forestry, fisheries, climate, and nutrition in developing countries. The research results you will analyze originate from various CGIAR initiatives and projects in these and related fields.

### **Research Result Components:**
Each research result includes the following details:
- **Title:** A brief title summarizing the research result.
- **Description:** A detailed description of the research result, including methods and findings.
- **Research Abstract:** A summary of key findings and implications (optional).
- **Research Parsed Text:** The parsed text of the research result (optional).

### **Tagging Criteria:**
Assign a gender equality impact tag using the following criteria:

- **0 = Not Targeted:** 
  - The research does not address or contribute to CGIAR's gender equality objectives.
  - The research is unrelated to gender equality, focusing instead on different topics with no significant implications for gender-related issues.
  - Example: A study focused solely on crop yield improvements without considering gender roles, implications, or disparities.

- **1 = Significant:**
  - The research makes a meaningful contribution to CGIAR’s gender equality objectives, but these are not the primary focus.
  - The research is relevant and provides insights into gender dynamics, but these are secondary to other goals.
  - Example: A study that examines the impact of agricultural interventions on women’s access to land but does not center its entire analysis on gender equality.

- **2 = Principal:**
  - The primary objective of the research is to address and directly impact CGIAR's goals in promoting gender equality.
  - The research would not have been undertaken without the intention to contribute to these specific gender equality objectives.
  - Example: A study specifically designed to develop agricultural policies aimed at improving women’s access to financial resources and closing gender gaps.

### **Key Objectives Set by CGIAR:**
- **Closing the Gender Gap:** Addressing disparities in rights to economic resources, ownership, and control over land and natural resources for women in food, land, and water systems.
- **Providing Opportunities:** Creating opportunities for young people who are not in employment, education, or training, with a focus on gender inclusivity.

### **Instructions:**
1. **Analyze the Title and Abstract:** Determine whether the research is related to CGIAR's objectives in promoting gender equality by looking for relevant keywords or phrases, such as “gender,” “women,” “equality,” or “empowerment.”
2. **Review the Description and Parsed Text:** Assess whether the research directly contributes to CGIAR’s gender equality objectives, and how integral these objectives are to the overall study.
3. **Assign the Tag:** Based on the criteria provided, assign the most appropriate tag (0, 1, or 2) that reflects whether the research is related to and impacts CGIAR’s objectives in gender equality.
4. **Provide a Brief Justification:** Explain why you assigned this tag, referencing specific aspects of the research that influenced your decision. Make sure to clarify how the research aligns (or does not align) with CGIAR’s gender equality objectives.

### **Important Notes:**
- If the research does not relate to CGIAR's objectives in gender equality, assign a tag of **0** (Not Targeted).
- If the research mentions gender equality as an important consideration but not the primary focus, assign a tag of **1** (Significant).
- If gender equality is the primary objective of the research, assign a tag of **2** (Principal).
- When assigning a tag of **2**, ensure that the evidence clearly demonstrates that gender equality objectives were the main goals of the research and fundamental to its design.

### **Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }


### **Now, analyze the following research result and assign a gender equality tag (0, 1, or 2). Provide a brief explanation for your choice, ensuring it references the criteria and objectives mentioned above. Be careful to determine whether the research is truly aligned with CGIAR's specific goals in promoting gender equality.**

**Text to Analyze:**
[INPUT_TEXT]","gpt-4o-mini","Gender","Bean breeding networks in Africa accelerate genetic gains for drought- and heat-resilient, biofortified varieties including bush and climbing beans, meeting farmer and seed company demands in diverse markets Common beans are an important staple food for more than 200 million Africans, providing an affordable source of proteins, complex carbohydrates and valuable micronutrients. They improve soil fertility and are a significant source of income. In collaboration with the Pan Africa Bean Research Alliance (PABRA) and farmers, CIAT and national bean breeding efforts seek to develop improved and marketable bush and climbing bean varieties, including biofortified varieties and niche market varieties. Past progress in resistance to bean diseases and tolerance to drought is being extended to edaphic constraints and adaptation to high temperatures.  Breeding is a cyclical process that adjusts to feedback from farmers, seed companies and end-users. Breeding cycle time at CIAT is between 12 and 24 months. During 2023, partners in 16 African countries tested 272 lines from local breeding programs and CIAT. Seventeen Tanzanian varieties were tested with 1682 farmers.                                                                                                                                                                                                                                                                                                    Worksheet Descriptions  Unnamed: 1               Unnamed: 2                                                                                                                                                                    Unnamed: 3                                                                                                                                                                                Unnamed: 4
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                             PRMS Results and IA  coding         NaN   Evidence for IA coding                                                                                                                                                    Starting Rows 1, describes Method used to systematically link Breeding Pipelines employed, Target Product Profiles pursued, and Variety Releases achieved by ALL Genetic Innovation Breeding Efforts to Impact Areas
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 11, describes                                                                                          Standardized matrix of traits, value propositions and Impact Area tagging for genetic innovation
                                                                                                                                                                                                                                                                                                                     NaN         NaN   Evidence for IA coding                                                                                                                                                   Starting Rows 45, describes                                                            Standardized Impact Area tagging for Genetic Innovation Breeding Pipelines and Variety Releases and their link to PRMS results
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                           IRL Standardization Germplasm         NaN  Evidence for IRL coding                                  Links Germplasm Stages, used in CGIAR Genetic Innovation, to Levels of CGIAR Innovation Readiness and Use, across all CGIAR Breeding Efforts                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                    Breeding Cycle times         NaN Evidence for cycle times                                                   Lists cycle times of breeding pipelines, based on a breeders' survey. This information is used in PRMS Results descriptions                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                     BPs >> PRMS Results         NaN    Part of the analytics                                                                                                                       Lists Breeding Pipelines and their link to PRMS Results                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                Value Propositions in BP         NaN    Part of the analytics                                                                                                         Lists Value propositions  and Trait requirement per Breeding Pipeline                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                           BP - TPP - MS         NaN    Part of the analytics  Links between Breeding Pipelines (BP), Target Product Profiles (TPP) and Market Segments (MS), across all of CGAIR breeding, downloaded from Breeding Portal 14 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                         TPPs and Traits         NaN    Part of the analytics Links between Trait, Value Proposition, Breeding Pipelines (BP), Target Product Profiles (TPP) , across all of CGAIR breeding, downloaded from Breeding Portal 8 January 2024                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                              Variety 2023 releases > BP         NaN    Part of the analytics                                                                  Known variety releases in 2023, linked to Breeding Pipeline, downloaded from Breeding Portal 14 January 2023                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
    In collaboration with Market Intelligence, Impact Area and IRL coding are standardized across ALL CGIAR breeding efforts, with  improvements from year to year. The file provides methods and analysis. IA Worksheet ""PRMS Results and IA coding"", Rows 93-96 lists Impact Area codes, resulting from the analysis.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
                                                                                                                                                                                                                                                                                                                     NaN         NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN
Worksheet ""PRMS Results & IA Coding"" explains the method, developed with Market Intelligence, for standardized Impact Area tagging of CGIAR Breeding Pipelines. The proportion of Breeding Pipelines with Impact Area Tag 2 are shown in Row 33.  The analysis allows to conclude on the overall portfolio orientation.          NaN                      NaN                                                                                                                                                                           NaN                                                                                                                                                                                       NaN","2072"
"869","GENDER_EQUALITY_PROMPT","# **You are an AI assistant tasked with evaluating research results from CGIAR (Consultative Group on International Agricultural Research) to determine whether they align with and contribute to CGIAR's objectives in promoting gender equality. Your goal is to accurately assign an impact area tag that reflects the relevance and impact of the research on these specific gender equality objectives.**

### **Context:**
CGIAR is a global partnership that unites international organizations focused on research for food security. CGIAR has established specific objectives to promote gender equality, particularly in the fields of agriculture, forestry, fisheries, climate, and nutrition in developing countries. The research results you will analyze originate from various CGIAR initiatives and projects in these and related fields.

### **Research Result Components:**
Each research result includes the following details:
- **Title:** A brief title summarizing the research result.
- **Description:** A detailed description of the research result, including methods and findings.
- **Research Abstract:** A summary of key findings and implications (optional).
- **Research Parsed Text:** The parsed text of the research result (optional).

### **Tagging Criteria:**
Assign a gender equality impact tag using the following criteria:

- **0 = Not Targeted:** 
  - The research does not address or contribute to CGIAR's gender equality objectives.
  - The research is unrelated to gender equality, focusing instead on different topics with no significant implications for gender-related issues.
  - Example: A study focused solely on crop yield improvements without considering gender roles, implications, or disparities.

- **1 = Significant:**
  - The research makes a meaningful contribution to CGIAR’s gender equality objectives, but these are not the primary focus.
  - The research is relevant and provides insights into gender dynamics, but these are secondary to other goals.
  - Example: A study that examines the impact of agricultural interventions on women’s access to land but does not center its entire analysis on gender equality.

- **2 = Principal:**
  - The primary objective of the research is to address and directly impact CGIAR's goals in promoting gender equality.
  - The research would not have been undertaken without the intention to contribute to these specific gender equality objectives.
  - Example: A study specifically designed to develop agricultural policies aimed at improving women’s access to financial resources and closing gender gaps.

### **Key Objectives Set by CGIAR:**
- **Closing the Gender Gap:** Addressing disparities in rights to economic resources, ownership, and control over land and natural resources for women in food, land, and water systems.
- **Providing Opportunities:** Creating opportunities for young people who are not in employment, education, or training, with a focus on gender inclusivity.

### **Instructions:**
1. **Analyze the Title and Abstract:** Determine whether the research is related to CGIAR's objectives in promoting gender equality by looking for relevant keywords or phrases, such as “gender,” “women,” “equality,” or “empowerment.”
2. **Review the Description and Parsed Text:** Assess whether the research directly contributes to CGIAR’s gender equality objectives, and how integral these objectives are to the overall study.
3. **Assign the Tag:** Based on the criteria provided, assign the most appropriate tag (0, 1, or 2) that reflects whether the research is related to and impacts CGIAR’s objectives in gender equality.
4. **Provide a Brief Justification:** Explain why you assigned this tag, referencing specific aspects of the research that influenced your decision. Make sure to clarify how the research aligns (or does not align) with CGIAR’s gender equality objectives.

### **Important Notes:**
- If the research does not relate to CGIAR's objectives in gender equality, assign a tag of **0** (Not Targeted).
- If the research mentions gender equality as an important consideration but not the primary focus, assign a tag of **1** (Significant).
- If gender equality is the primary objective of the research, assign a tag of **2** (Principal).
- When assigning a tag of **2**, ensure that the evidence clearly demonstrates that gender equality objectives were the main goals of the research and fundamental to its design.

### **Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }


### **Now, analyze the following research result and assign a gender equality tag (0, 1, or 2). Provide a brief explanation for your choice, ensuring it references the criteria and objectives mentioned above. Be careful to determine whether the research is truly aligned with CGIAR's specific goals in promoting gender equality.**

**Text to Analyze:**
[INPUT_TEXT]","gpt-4o-mini","Gender","GenderUp for scaling: A method that supports innovation teams in gender responsible scaling GenderUp is a conversation-based method that supports projects and research teams in scaling agricultural innovations responsibly and socially inclusive. By making users think through the scaling process, the actual impacts for different social groups (positive and negative) and anticipate unintended consequences, GenderUp strengthens users’ capacity to scale agricultural innovations and achieve desired impacts. Anticipating gender impacts in scaling innovations for agriculture: Insights from the literature Skip to main content Dear CGSpace users, we have performed some minor upgrades to the user interface. If it does not look right you should refresh the page while holding the Shift key. Communities & Collections Browse Navigate CGIAR Centers Statistics English Català Čeština Deutsch Español Français Gàidhlig Italiano Latviešu Magyar Nederlands Polski Português Português do Brasil Srpski (lat) Suomi Svenska Türkçe Tiếng Việt Қазақ বাংলা हिंदी Ελληνικά Српски Yкраї́нська Log In Note: CGIAR users should log in with their Active Directory username and password. For example, if your email is j.smith@cgiar.org, you would use jsmith here. Log in New user? Click here to register. Have you forgotten your password? Home CGIAR research centers Alliance of Bioversity International and CIAT Alliance Bioversity CIAT Journal Articles Anticipating gender impacts in scaling innovations for agriculture: Insights from the literature Anticipating gender impacts in scaling innovations for agriculture: Insights from the literature Loading... Files Anticipating_McGuire_2022.pdf (677.62 KB) Authors McGuire, Erin Rietveld, Anne M. Crump, Amanda Leeuwis, Cees Date Issued 2022-03 Date Online Language en Type Journal Article Review Status Peer Review Access Rights Open Access Usage Rights Metadata Full item page Share Citation McGuire, E.; Rietveld, A.M.; Crump, A.; Leeuwis, C. (2022) Anticipating gender impacts in scaling innovations for agriculture: Insights from the literature. World Development Perspectives 25: 100386. 10 p. ISSN: 2452-2929 Permanent link to cite or share this item https://hdl.handle.net/10568/118207 External link to download this item DOI https://doi.org/10.1016/j.wdp.2021.100386 Abstract/Description Of the world’s 570 million farmers, 72% work on two hectares or less, and women’s labor comprises at least 50% (FAO, 2014). Small farms are responsible for 80% of world food production, making them key to addressing looming global food shortages (Lowder et al., 2016). Small farms in developing countries navigate a myriad of challenges, including access to information, quality inputs, capital, markets, and among others, land (FAO, 2014). These challenges can be exacerbated for women and other marginalized groups of people due to social normatives within their communities (Petesch, Badstue, & Prain, 2018; Polar et al., 2017; Rola‐Rubzen et al., 2020). Inclusive innovation to address agriculture productivity and loss gaps is tantamount to equitable global food security (FAO, 2014; FAO, 2011). However, many innovations still fail to help stimulate disruption in gender or social inequities, and some even do additional harm. Increasing use of an innovation, referred to as ‘scaling,' is critical to impact at a community or regional level, and is often seen as necessary to support Agriculture Research for Development (AR4D) outcomes (Sartas et al., 2020). Several scaling support tools and methodologies have been developed to assist researchers and practitioners in scaling processes. However, little practical attention has been given to the specific cross-section of gender and relevant diversity within scaling tools and methodologies. This narrative literature review begins to address this by answering: 1) What are unique gender considerations when scaling agricultural innovations?; and 2) What are appropriate methods and approaches for collecting data on these unique gender considerations? Our review finds six points of attention to reflect upon unique gender considerations when innovating and scaling innovation: i) Comprising research and project teams, ii) Designing agricultural innovations, iii) Communicating and extension of innovation, iv) Choosing scale models: entrepreneurship and business development, v) Reinventing and changing technology, and vi) Engaging with the political economy of innovation. Methods to collect necessary data to accurately reflect on these considerations and avoid unintended negative consequences for more gender responsible scaling are also presented. Finally, the literature review is situated in a perspective that more attention should be given to agricultural innovation and scaling support tools and methodologies to address gender or socially marginalized groups. Author ORCID identifiers Anne Rietveld https://orcid.org/0000-0002-9400-9473 Contributes to SDGs AGROVOC Keywords gender equality ; appropriate technology ; innovation systems ; data collection ; literature reviews ; igualdad de género ; tecnología apropiada ; sistemas de innovación Subjects AGRICULTURE ; EXTENSION ; GENDER AND EQUITY Organizations Affiliated to the Authors Bioversity International ; University of California ; Wageningen University & Research Investors/sponsors CGIAR Trust Fund CGIAR Impact Areas Gender equality, youth and social inclusion ; Poverty reduction, livelihoods and jobs CGIAR Initiatives Low-Emission Food Systems Collections Alliance Bioversity CIAT Journal Articles Alliance Research Lever 4: Biodiversity for Food and Agriculture Alliance Research Lever 7: Gender and Inclusion CGIAR Initiative on Low-Emission Food Systems DSpace software copyright © 2002-2024 LYRASIS About Cookie settings Privacy policy Send Feedback ","2125"
"1020","GENDER_EQUALITY_PROMPT","# **You are an AI assistant tasked with evaluating research results from CGIAR (Consultative Group on International Agricultural Research) to determine whether they align with and contribute to CGIAR's objectives in promoting gender equality. Your goal is to accurately assign an impact area tag that reflects the relevance and impact of the research on these specific gender equality objectives.**

### **Context:**
CGIAR is a global partnership that unites international organizations focused on research for food security. CGIAR has established specific objectives to promote gender equality, particularly in the fields of agriculture, forestry, fisheries, climate, and nutrition in developing countries. The research results you will analyze originate from various CGIAR initiatives and projects in these and related fields.

### **Research Result Components:**
Each research result includes the following details:
- **Title:** A brief title summarizing the research result.
- **Description:** A detailed description of the research result, including methods and findings.
- **Research Abstract:** A summary of key findings and implications (optional).
- **Research Parsed Text:** The parsed text of the research result (optional).

### **Tagging Criteria:**
Assign a gender equality impact tag using the following criteria:

- **0 = Not Targeted:** 
  - The research does not address or contribute to CGIAR's gender equality objectives.
  - The research is unrelated to gender equality, focusing instead on different topics with no significant implications for gender-related issues.
  - Example: A study focused solely on crop yield improvements without considering gender roles, implications, or disparities.

- **1 = Significant:**
  - The research makes a meaningful contribution to CGIAR’s gender equality objectives, but these are not the primary focus.
  - The research is relevant and provides insights into gender dynamics, but these are secondary to other goals.
  - Example: A study that examines the impact of agricultural interventions on women’s access to land but does not center its entire analysis on gender equality.

- **2 = Principal:**
  - The primary objective of the research is to address and directly impact CGIAR's goals in promoting gender equality.
  - The research would not have been undertaken without the intention to contribute to these specific gender equality objectives.
  - Example: A study specifically designed to develop agricultural policies aimed at improving women’s access to financial resources and closing gender gaps.

### **Key Objectives Set by CGIAR:**
- **Closing the Gender Gap:** Addressing disparities in rights to economic resources, ownership, and control over land and natural resources for women in food, land, and water systems.
- **Providing Opportunities:** Creating opportunities for young people who are not in employment, education, or training, with a focus on gender inclusivity.

### **Instructions:**
1. **Analyze the Title and Abstract:** Determine whether the research is related to CGIAR's objectives in promoting gender equality by looking for relevant keywords or phrases, such as “gender,” “women,” “equality,” or “empowerment.”
2. **Review the Description and Parsed Text:** Assess whether the research directly contributes to CGIAR’s gender equality objectives, and how integral these objectives are to the overall study.
3. **Assign the Tag:** Based on the criteria provided, assign the most appropriate tag (0, 1, or 2) that reflects whether the research is related to and impacts CGIAR’s objectives in gender equality.
4. **Provide a Brief Justification:** Explain why you assigned this tag, referencing specific aspects of the research that influenced your decision. Make sure to clarify how the research aligns (or does not align) with CGIAR’s gender equality objectives.

### **Important Notes:**
- If the research does not relate to CGIAR's objectives in gender equality, assign a tag of **0** (Not Targeted).
- If the research mentions gender equality as an important consideration but not the primary focus, assign a tag of **1** (Significant).
- If gender equality is the primary objective of the research, assign a tag of **2** (Principal).
- When assigning a tag of **2**, ensure that the evidence clearly demonstrates that gender equality objectives were the main goals of the research and fundamental to its design.

### **Structured Output Format:**
Please provide your answer in the following format:
{ ""score"": <0|1|2>, ""explanation"": ""<Your explanation here>"" }


### **Now, analyze the following research result and assign a gender equality tag (0, 1, or 2). Provide a brief explanation for your choice, ensuring it references the criteria and objectives mentioned above. Be careful to determine whether the research is truly aligned with CGIAR's specific goals in promoting gender equality.**

**Text to Analyze:**
[INPUT_TEXT]","gpt-4o-mini","Gender","Aclimatar - Understanding climate change impacts and adaptation practices for cocoa management in West Africa Aclimatar: Empowering Smallholder Producers for Perennials in West Africa for Climate Resilience. The innovation highlights the platform's core purpose of supporting climate adaptation for smallholder cocoa producers in Ghana and Côte d'Ivoire. By offering site-specific climate change risk assessments and tailored adaptation practices, Aclimatar serves as a vital tool in combating the effects of climate change. Its intuitive map interface allows users to select locations, providing them with essential climate data, impacts on specific crops, and prioritized adaptation strategies. This innovation is designed to enhance local projects, technicians, and organizations' understanding and response to climate variability, ensuring sustainable agricultural practices and resilience among smallholder communities. Opportunities for digital agro-climatic services in the cocoa sector Skip to main content Dear CGSpace users, we have performed some minor upgrades to the user interface. If it does not look right you should refresh the page while holding the Shift key. Communities & Collections Browse Navigate CGIAR Centers Statistics English Català Čeština Deutsch Español Français Gàidhlig Italiano Latviešu Magyar Nederlands Polski Português Português do Brasil Srpski (lat) Suomi Svenska Türkçe Tiếng Việt Қазақ বাংলা हिंदी Ελληνικά Српски Yкраї́нська Log In Note: CGIAR users should log in with their Active Directory username and password. For example, if your email is j.smith@cgiar.org, you would use jsmith here. Log in New user? Click here to register. Have you forgotten your password? Home CGIAR research centers Alliance of Bioversity International and CIAT Alliance Bioversity CIAT Reports Opportunities for digital agro-climatic services in the cocoa sector Opportunities for digital agro-climatic services in the cocoa sector Loading... Files Report_Ghana.pdf (6.33 MB) Authors Giraldo, Diana Zapata Caldas, Emmanuel Llanos, Lizeth Rahn, Eric Date Issued 2023-12-29 Date Online Language en Type Report Review Status Access Rights Open Access Usage Rights Metadata Full item page Share Citation Giraldo, D.; Zapata Caldas, E.; Llanos, L.; Rahn, E. (2023) Opportunities for digital agro-climatic services in the cocoa sector. Excellence in Agronomy Initiative. 13 p. Permanent link to cite or share this item https://hdl.handle.net/10568/138653 External link to download this item DOI Abstract/Description The Alliance Bioversity-CIAT and the Rainforest Alliance (RA) collaborating to explore the value of seasonal climate forecasts for decision-making in cocoa farming. The Alliance Bioversity International-CIAT has extensive experience in using seasonal climate forecasts to improve the management of annual crops (e.g., variety selection, planting time, etc.), but there is limited experience with perennial cropping systems such as cocoa. To this end, we aim to understand which management decisions can benefit from seasonal climate forecasts, which climate variables would require good forecasting skills, and how forecasts need to be translated and communicated to end- users. To achieve this goal, the Alliance Bioversity-CIAT is applying human-centered design (HCD), a creative and participatory approach to problem-solving that allows for a deep understanding of the people for whom we design and the environments in which they live. Stakeholders are considered co-designers in the process of creating solutions or tools, whether digital or non-digital. Author ORCID identifiers Diana Carolina Giraldo Mendez https://orcid.org/0000-0002-9200-3916 Emmanuel Zapata-Caldas https://orcid.org/0000-0002-7795-9426 Lizeth Llanos-Herrera https://orcid.org/0000-0003-3540-7348 Eric Rahn https://orcid.org/0000-0001-6280-7430 Contributes to SDGs AGROVOC Keywords information services ; theobroma cacao-cocoa (plant) ; climate services ; extension systems Subjects CACAO ; PARTICIPATORY RESEARCH ; RESILIENCE Countries Ghana Regions Africa ; Western Africa ; Sub-Saharan Africa Organizations Affiliated to the Authors International Center for Tropical Agriculture CGIAR Action Areas Resilient Agrifood Systems CGIAR Impact Areas Climate adaptation and mitigation CGIAR Initiatives Climate Resilience ; Excellence in Agronomy Collections Alliance Bioversity CIAT Reports Alliance Research Lever 3: Climate Action CGIAR Initiative on Climate Resilience CGIAR Initiative on Excellence in Agronomy DSpace software copyright © 2002-2024 LYRASIS About Cookie settings Privacy policy Send Feedback ","1898"
