result_code,PRMS Result Code,Year,PRMS Short Title,Type,Result Status,Top 10 Innovations,In PRMS (for Top 10),Innovation Short Name,Cluster,Program,2025 ballpark USD investments - CG Bilaterals,2025 ballpark USD investments - Lead CG Science Program,2025 ballpark USD investments - Partner co-investment,2026 estimated pooled USD need for lead Science Program,2027 estimated pooled USD need for lead Science Program,input_text
20000,20000.0,,"A farmers-focused monitoring, reporting, and verification framework (MRV) for tracking fertilizer-induced nitrous oxide emissions",,,True,Yes,"A farmers-focused monitoring, reporting, and verification framework (MRV) for tracking fertilizer-induced nitrous oxide emissions",,Climate Action,,,,,,"A farmers-focused monitoring, reporting, and verification framework (MRV) for tracking fertilizer-induced nitrous oxide emissions"
20001,20001.0,,AI-Powered PEPA Tool for Policy Insights in Agrifood Systems Transformation,,,True,Yes,AI-Powered PEPA Tool for Policy Insights in Agrifood Systems Transformation,,Policy Innovations,0,40000,0,120000,130000,AI-Powered PEPA Tool for Policy Insights in Agrifood Systems Transformation
20002,20002.0,,Climate Peace and Displacement Partnership,,,True,Yes,Climate Peace and Displacement Partnership,,Food Frontiers and Security,100000,20000,30000,150000,150000,Climate Peace and Displacement Partnership
20003,20003.0,,Institutional and business models for scaling and commercialization of forages and forage seeds in mixed farming systems in ethiopian highlands in Ethiopia,,,True,Yes,Institutional and business models for scaling and commercialization of forages and forage seeds in mixed farming systems in ethiopian highlands in Ethiopia,,Sustainable Farming," AICCRA, TAAT", SFP and S4I,"No financial contribution, but staff members are allocated to collaborate and support the implementation of planned activities.",300000,300000,Institutional and business models for scaling and commercialization of forages and forage seeds in mixed farming systems in ethiopian highlands in Ethiopia
20004,20004.0,,Mbili Mbili Cropping Systems for crop diversification and climate resilience,,,True,Yes,Mbili Mbili Cropping Systems for crop diversification and climate resilience,,Sustainable Farming,,SFP,,100000,100000,Mbili Mbili Cropping Systems for crop diversification and climate resilience
20005,20005.0,,Stability-and-Peace Accelerator for Food Land and Water Actors (SAPA),,,True,Yes,Stability-and-Peace Accelerator for Food Land and Water Actors (SAPA),,Food Frontiers and Security,,200000,,500000,500000,Stability-and-Peace Accelerator for Food Land and Water Actors (SAPA)
10056,9443.0,2023.0,"Progress on Aflasafe Research & Delivery, Incubation & Training (ARDIT)",Innovation development,Quality Assessed,,,,,,,,,,,"Progress on Aflasafe Research & Delivery, Incubation & Training (ARDIT)"
10067,9453.0,2023.0,An improved EPIRICE model that predicts the impact of weather,Innovation development,Quality Assessed,,,,,,,,,,,An improved EPIRICE model that predicts the impact of weather
10076,9462.0,2023.0,Mung bean farmers benefit at scale from interactive voice response,Innovation use,Quality Assessed,,,,,,,,,,,Mung bean farmers benefit at scale from interactive voice response
10086,9472.0,2023.0,The establishment of a Southern Rice Black-Streaked Dwarf Virus (SRBSDV),Innovation development,Quality Assessed,,,,,,,,,,,The establishment of a Southern Rice Black-Streaked Dwarf Virus (SRBSDV)
10132,9518.0,2023.0,Use of a revolving fund scheme for seed production by,Innovation use,Quality Assessed,,,,,,,,,,,Use of a revolving fund scheme for seed production by
10140,9525.0,2023.0,Genetically-improved WorldFish Generation 3 rohu carp handed over to the,Innovation use,Quality Assessed,,,,,,,,,,,Genetically-improved WorldFish Generation 3 rohu carp handed over to the
10146,9531.0,2023.0,Participatory rangeland management upscaling boosted by new Intergovernmental Authority on,Innovation use,Quality Assessed,,,,,,,,,,,Participatory rangeland management upscaling boosted by new Intergovernmental Authority on
10159,9544.0,2023.0,Tanzanian pastoralist communities commence restoration of degraded rangelands through participatory,Innovation use,Quality Assessed,,,,,,,,,,,Tanzanian pastoralist communities commence restoration of degraded rangelands through participatory
10195,9580.0,2023.0,USAID funds upscaling of Livestock and Climate innovations joint village,Innovation use,Quality Assessed,,,,,,,,,,,USAID funds upscaling of Livestock and Climate innovations joint village
10211,9596.0,2023.0,Digital Agriculture Plot: An in-situ farm monitoring system in the,Innovation development,Quality Assessed,,,,,,,,,,,Digital Agriculture Plot: An in-situ farm monitoring system in the
